,response,CStype,phase,trialN,priorBelief,trialN2,Age,Group,pID
7,,CS+,1,1.0,2.0,0.0,21,0,29374
10,8.0,CS-,1,4.0,3.0,0.0,21,0,29374
11,9.0,CS+,1,5.0,2.0,1.0,21,0,29374
13,7.0,CS-,1,7.0,3.0,1.0,21,0,29374
15,9.0,CS+,1,9.0,2.0,2.0,21,0,29374
18,8.0,CS-,1,12.0,3.0,2.0,21,0,29374
19,10.0,CS+,1,13.0,2.0,3.0,21,0,29374
21,6.0,CS-,1,15.0,3.0,3.0,21,0,29374
28,7.0,CS+,2,6.0,2.0,0.0,21,0,29374
29,5.0,GS3,2,7.0,0.0,0.0,21,0,29374
30,7.0,CS-,2,8.0,3.0,0.0,21,0,29374
31,8.0,GS4,2,9.0,0.0,0.0,21,0,29374
32,,GS2,2,10.0,0.0,0.0,21,0,29374
33,3.0,GS1,2,11.0,0.0,0.0,21,0,29374
35,8.0,CS+,3,1.0,2.0,0.0,21,0,29374
37,6.0,CS-,3,3.0,3.0,0.0,21,0,29374
40,7.0,CS+,3,6.0,2.0,1.0,21,0,29374
41,7.0,CS-,3,7.0,3.0,1.0,21,0,29374
43,4.0,CS+,3,9.0,2.0,2.0,21,0,29374
45,5.0,CS-,3,11.0,3.0,2.0,21,0,29374
48,7.0,CS+,3,14.0,2.0,3.0,21,0,29374
49,6.0,CS-,3,15.0,3.0,3.0,21,0,29374
51,5.0,CS+,3,17.0,2.0,4.0,21,0,29374
53,5.0,CS-,3,19.0,3.0,4.0,21,0,29374
56,4.0,CS+,3,22.0,2.0,5.0,21,0,29374
57,4.0,CS-,3,23.0,3.0,5.0,21,0,29374
59,3.0,CS+,3,25.0,2.0,6.0,21,0,29374
61,2.0,CS-,3,27.0,3.0,6.0,21,0,29374
64,2.0,CS+,3,30.0,2.0,7.0,21,0,29374
65,2.0,CS-,3,31.0,3.0,7.0,21,0,29374
8,10.0,CS+,1,2.0,0.0,0.0,25,0,32803
9,,CS-,1,3.0,,0.0,25,0,32803
12,10.0,CS-,1,6.0,,1.0,25,0,32803
13,9.0,CS+,1,7.0,0.0,1.0,25,0,32803
16,9.0,CS+,1,10.0,0.0,2.0,25,0,32803
17,10.0,CS-,1,11.0,,2.0,25,0,32803
20,11.0,CS-,1,14.0,,3.0,25,0,32803
