,response,CStype,phase,trialN,priorBelief,trialN2,Age,Group,pID
6,5.0,CS+,1,0.0,2.0,0.0,21,0,29374
8,3.0,CS-,1,2.0,3.0,0.0,21,0,29374
9,4.0,CS+,1,3.0,2.0,1.0,21,0,29374
12,9.0,CS-,1,6.0,3.0,1.0,21,0,29374
14,2.0,CS+,1,8.0,2.0,2.0,21,0,29374
16,4.0,CS-,1,10.0,3.0,2.0,21,0,29374
17,2.0,CS+,1,11.0,2.0,3.0,21,0,29374
20,8.0,CS-,1,14.0,3.0,3.0,21,0,29374
22,2.0,GS3,2,0.0,0.0,0.0,21,0,29374
23,3.0,CS-,2,1.0,3.0,0.0,21,0,29374
24,3.0,GS1,2,2.0,0.0,0.0,21,0,29374
25,3.0,GS4,2,3.0,0.0,0.0,21,0,29374
26,3.0,CS+,2,4.0,2.0,0.0,21,0,29374
27,3.0,GS2,2,5.0,0.0,0.0,21,0,29374
34,3.0,CS+,3,0.0,2.0,0.0,21,0,29374
36,8.0,CS-,3,2.0,3.0,0.0,21,0,29374
38,4.0,CS+,3,4.0,2.0,1.0,21,0,29374
39,2.0,CS-,3,5.0,3.0,1.0,21,0,29374
42,3.0,CS+,3,8.0,2.0,2.0,21,0,29374
44,3.0,CS-,3,10.0,3.0,2.0,21,0,29374
46,6.0,CS+,3,12.0,2.0,3.0,21,0,29374
47,3.0,CS-,3,13.0,3.0,3.0,21,0,29374
50,3.0,CS+,3,16.0,2.0,4.0,21,0,29374
52,3.0,CS-,3,18.0,3.0,4.0,21,0,29374
54,3.0,CS+,3,20.0,2.0,5.0,21,0,29374
55,3.0,CS-,3,21.0,3.0,5.0,21,0,29374
58,3.0,CS+,3,24.0,2.0,6.0,21,0,29374
60,3.0,CS-,3,26.0,3.0,6.0,21,0,29374
62,1.0,CS+,3,28.0,2.0,7.0,21,0,29374
63,2.0,CS-,3,29.0,3.0,7.0,21,0,29374
6,1.0,CS-,1,0.0,,0.0,25,0,32803
7,1.0,CS+,1,1.0,0.0,0.0,25,0,32803
10,2.0,CS+,1,4.0,0.0,1.0,25,0,32803
11,1.0,CS-,1,5.0,,1.0,25,0,32803
14,1.0,CS-,1,8.0,,2.0,25,0,32803
15,1.0,CS+,1,9.0,0.0,2.0,25,0,32803
18,1.0,CS+,1,12.0,0.0,3.0,25,0,32803
19,1.0,CS-,1,13.0,,3.0,25,0,32803
28,2.0,GS4,2,6.0,0.0,0.0,25,0,32803
29,2.0,GS1,2,7.0,0.0,0.0,25,0,32803
30,2.0,GS3,2,8.0,0.0,0.0,25,0,32803
31,2.0,CS-,2,9.0,,0.0,25,0,32803
32,2.0,CS+,2,10.0,0.0,0.0,25,0,32803
33,3.0,GS2,2,11.0,0.0,0.0,25,0,32803
34,2.0,CS-,3,0.0,,0.0,25,0,32803
35,1.0,CS+,3,1.0,0.0,0.0,25,0,32803
38,8.0,CS+,3,4.0,0.0,1.0,25,0,32803
39,1.0,CS-,3,5.0,,1.0,25,0,32803
42,2.0,CS-,3,8.0,,2.0,25,0,32803
43,2.0,CS+,3,9.0,0.0,2.0,25,0,32803
46,1.0,CS+,3,12.0,0.0,3.0,25,0,32803
47,2.0,CS-,3,13.0,,3.0,25,0,32803
50,1.0,CS-,3,16.0,,4.0,25,0,32803
51,1.0,CS+,3,17.0,0.0,4.0,25,0,32803
54,1.0,CS+,3,20.0,0.0,5.0,25,0,32803
55,1.0,CS-,3,21.0,,5.0,25,0,32803
58,2.0,CS-,3,24.0,,6.0,25,0,32803
59,1.0,CS+,3,25.0,0.0,6.0,25,0,32803
62,1.0,CS+,3,28.0,0.0,7.0,25,0,32803
63,1.0,CS-,3,29.0,,7.0,25,0,32803
8,4.0,CS-,1,2.0,3.0,0.0,20,0,32878
9,8.0,CS+,1,3.0,7.0,0.0,20,0,32878
12,2.0,CS+,1,6.0,7.0,1.0,20,0,32878
13,1.0,CS-,1,7.0,3.0,1.0,20,0,32878
16,1.0,CS-,1,10.0,3.0,2.0,20,0,32878
17,6.0,CS+,1,11.0,7.0,2.0,20,0,32878
