,USunpl.response,phase,pID,Age,Group
2,8.0,0,29374,21,0
22,7.0,2,29374,21,0
34,8.0,3,29374,21,0
2,8.0,0,32803,25,0
22,10.0,2,32803,25,0
34,10.0,3,32803,25,0
2,5.0,0,32878,20,0
22,6.0,2,32878,20,0
34,8.0,3,32878,20,0
2,6.0,0,33109,20,1
22,9.0,2,33109,20,1
34,10.0,3,33109,20,1
2,8.0,0,33400,22,0
22,8.0,2,33400,22,0
34,8.0,3,33400,22,0
22,7.0,2,33763,21,0
34,7.0,3,33763,21,0
2,6.0,0,33907,24,0
34,2.0,3,33907,24,0
2,10.0,0,38401,21,0
22,10.0,2,38401,21,0
34,10.0,3,38401,21,0
22,8.0,2,38431,21,1
34,9.0,3,38431,21,1
2,6.0,0,38488,19,0
22,6.0,2,38488,19,0
34,6.0,3,38488,19,0
2,10.0,0,38869,19,0
22,10.0,2,38869,19,0
34,10.0,3,38869,19,0
2,7.0,0,38944,21,0
22,5.0,2,38944,21,0
34,6.0,3,38944,21,0
2,8.0,0,39007,19,0
22,9.0,2,39007,19,0
34,9.0,3,39007,19,0
22,6.0,2,39100,21,0
34,7.0,3,39100,21,0
2,7.0,0,44032,18,0
22,7.0,2,44032,18,0
34,8.0,3,44032,18,0
2,6.0,0,44137,19,0
22,8.0,2,44137,19,0
34,6.0,3,44137,19,0
2,7.0,0,44149,19,0
22,6.0,2,44149,19,0
34,8.0,3,44149,19,0
2,9.0,0,44176,18,0
22,9.0,2,44176,18,0
34,8.0,3,44176,18,0
2,9.0,0,44194,18,1
22,8.0,2,44194,18,1
34,8.0,3,44194,18,1
2,10.0,0,44245,18,0
22,10.0,2,44245,18,0
34,10.0,3,44245,18,0
2,8.0,0,44293,19,0
22,9.0,2,44293,19,0
34,9.0,3,44293,19,0
22,7.0,2,44326,20,0
34,8.0,3,44326,20,0
2,2.0,0,44347,18,0
22,3.0,2,44347,18,0
34,3.0,3,44347,18,0
22,7.0,2,44437,18,0
34,6.0,3,44437,18,0
2,8.0,0,44485,19,0
22,7.0,2,44485,19,0
34,7.0,3,44485,19,0
22,10.0,2,44515,20,0
34,9.0,3,44515,20,0
2,8.0,0,44602,20,0
22,7.0,2,44602,20,0
34,7.0,3,44602,20,0
22,8.0,2,44638,21,1
34,6.0,3,44638,21,1
2,8.0,0,44662,18,0
22,3.0,2,44662,18,0
34,2.0,3,44662,18,0
